energy_relative_fermi_ev,energy_absolute_ev,dos_states_per_ev_per_cell
-8.990000000000064,-1.188200000000064,0.03561326299425351
-8.980000000000064,-1.1782000000000643,0.03748701305736022
-8.970000000000065,-1.1682000000000645,0.03949556337782951
-8.960000000000065,-1.1582000000000647,0.04160810050914615
-8.950000000000065,-1.148200000000065,0.043793874596354795
-8.940000000000065,-1.1382000000000652,0.046022524293756174
-8.930000000000065,-1.1282000000000654,0.04826445302424638
-8.920000000000066,-1.1182000000000656,0.050491252946417965
-8.910000000000066,-1.1082000000000658,0.05267617064502699
-8.900000000000066,-1.098200000000066,0.05479460631741914
-8.890000000000066,-1.0882000000000662,0.05682463617572937
-8.880000000000067,-1.0782000000000664,0.05874754599841497
-8.870000000000067,-1.0682000000000667,0.06054836231164002
-8.860000000000067,-1.0582000000000669,0.06221636661538551
-8.850000000000067,-1.048200000000067,0.06374557743063664
-8.840000000000067,-1.0382000000000673,0.06513518475632658
-8.830000000000068,-1.0282000000000675,0.06638992179533548
-8.820000000000068,-1.0182000000000677,0.06752035952907713
-8.810000000000068,-1.008200000000068,0.06854311086662494
-8.800000000000068,-0.9982000000000681,0.06948093263051722
-8.790000000000068,-0.9882000000000684,0.07036271552042206
-8.780000000000069,-0.9782000000000686,0.07122335436316936
-8.770000000000069,-0.9682000000000688,0.07210349335387006
-8.760000000000069,-0.958200000000069,0.07304914355667787
-8.75000000000007,-0.9482000000000692,0.07411117260452114
-8.74000000000007,-0.9382000000000694,0.0753446692568471
