energy_absolute_ev,energy_relative_fermi_ev,dos_states_per_ev_per_cell,integrated_states_per_cell
-7.26,-15.062,4.164e-86,1.978e-85
-7.25,-15.052,4.164e-86,1.982e-85
-7.24,-15.042,4.164e-86,1.986e-85
-7.23,-15.032,4.164e-86,1.99e-85
-7.22,-15.021999999999998,4.164e-86,1.995e-85
-7.21,-15.012,4.164e-86,1.999e-85
-7.2,-15.001999999999999,4.164e-86,2.003e-85
-7.19,-14.992,4.164e-86,2.007e-85
-7.18,-14.982,4.164e-86,2.011e-85
-7.17,-14.972,4.164e-86,2.015e-85
-7.16,-14.962,4.164e-86,2.02e-85
-7.15,-14.952,4.164e-86,2.024e-85
-7.14,-14.942,4.164e-86,2.028e-85
-7.13,-14.931999999999999,4.164e-86,2.032e-85
-7.12,-14.922,4.164e-86,2.036e-85
-7.11,-14.911999999999999,4.164e-86,2.04e-85
-7.1,-14.902,4.164e-86,2.045e-85
-7.09,-14.892,4.164e-86,2.049e-85
-7.08,-14.882,4.164e-86,2.053e-85
-7.07,-14.872,4.164e-86,2.057e-85
-7.06,-14.861999999999998,4.164e-86,2.061e-85
-7.05,-14.852,4.164e-86,2.065e-85
-7.04,-14.841999999999999,4.164e-86,2.07e-85
-7.03,-14.832,4.164e-86,2.074e-85
-7.02,-14.822,4.164e-86,2.078e-85
-7.01,-14.812,4.164e-86,2.082e-85
-7.0,-14.802,4.164e-86,2.086e-85
-6.99,-14.792,4.164e-86,2.09e-85
-6.98,-14.782,4.164e-86,2.095e-85
-6.97,-14.771999999999998,4.164e-86,2.099e-85
-6.96,-14.762,4.164e-86,2.103e-85
-6.95,-14.751999999999999,4.164e-86,2.107e-85
-6.94,-14.742,4.164e-86,2.111e-85
-6.93,-14.732,4.164e-86,2.115e-85
-6.92,-14.722,4.164e-86,2.12e-85
-6.91,-14.712,4.164e-86,2.124e-85
-6.9,-14.702,4.164e-86,2.128e-85
-6.89,-14.692,4.164e-86,2.132e-85
-6.88,-14.681999999999999,4.164e-86,2.136e-85
-6.87,-14.672,4.164e-86,2.14e-85
-6.86,-14.661999999999999,4.164e-86,2.145e-85
-6.85,-14.652,4.164e-86,2.149e-85
-6.84,-14.642,4.164e-86,2.153e-85
-6.83,-14.632,4.164e-86,2.157e-85
-6.82,-14.622,4.164e-86,2.161e-85
-6.81,-14.611999999999998,4.164e-86,2.165e-85
-6.8,-14.602,4.164e-86,2.17e-85
-6.79,-14.591999999999999,4.164e-86,2.174e-85
-6.78,-14.582,4.164e-86,2.178e-85
-6.77,-14.572,4.164e-86,2.182e-85
-6.76,-14.562,4.164e-86,2.186e-85
-6.75,-14.552,4.164e-86,2.19e-85
-6.74,-14.542,4.164e-86,2.195e-85
-6.73,-14.532,4.164e-86,2.199e-85
-6.72,-14.521999999999998,4.164e-86,2.203e-85
-6.71,-14.512,4.164e-86,2.207e-85
-6.7,-14.501999999999999,4.164e-86,2.211e-85
-6.69,-14.492,4.164e-86,2.215e-85
-6.68,-14.482,4.164e-86,2.219e-85
-6.67,-14.472,4.164e-86,2.224e-85
-6.66,-14.462,4.164e-86,2.228e-85
-6.65,-14.452,4.164e-86,2.232e-85
-6.64,-14.442,4.164e-86,2.236e-85
-6.63,-14.431999999999999,4.164e-86,2.24e-85
-6.62,-14.422,4.164e-86,2.244e-85
-6.61,-14.411999999999999,4.164e-86,2.249e-85
-6.6,-14.402,4.164e-86,2.253e-85
-6.59,-14.392,4.164e-86,2.257e-85
-6.58,-14.382,4.164e-86,2.261e-85
-6.57,-14.372,4.164e-86,2.265e-85
-6.56,-14.361999999999998,4.164e-86,2.269e-85
-6.55,-14.352,4.164e-86,2.274e-85
